date,sentimentScore,niftyIndexChange,niftyIndex
2020-06-08,-0.2417922348484845,25.3,10167.45
2020-06-05,-0.20474845201238365,113.05,10142.15
2020-06-04,-0.16767745266781403,-32.45,10029.1
2020-06-03,-0.19636864341085275,82.45,10061.55
2020-06-02,-0.1640547888386123,152.95,9979.1
2020-06-01,-0.21958231939163478,245.85,9826.15
2020-05-29,-0.2385235033259422,90.2,9580.3
2020-05-28,-0.21567178438661685,175.15,9490.1
2020-05-27,-0.21264490740740677,285.9,9314.95
2020-05-26,-0.27085755899705016,-10.2,9029.05
2020-05-22,-0.1859065319865317,-67.0,9039.25
2020-05-21,-0.19129855072463756,39.7,9106.25
2020-05-20,-0.18030955585464306,187.45,9066.55
2020-05-19,-0.2374503090234857,55.85,8879.1
2020-05-18,-0.24939065614617933,-313.6,8823.25
2020-05-15,-0.1810650432276656,-5.9,9136.85
2020-05-14,-0.184361977633902,-240.8,9142.75
2020-05-13,-0.21188644805571644,187.0,9383.55
2020-05-12,-0.2042544073853479,-42.65,9196.55
2020-05-11,-0.2875818773946357,-12.3,9239.2
2020-05-08,-0.23405244514106577,52.45,9251.5
2020-05-07,-0.25002439504783347,-71.85,9199.05
2020-05-06,-0.21041645123384264,65.3,9270.9
2020-05-05,-0.23488900523560233,-87.9,9205.6
2020-05-04,-0.2052595830285294,-566.4,9293.5
2020-04-30,-0.23282263694951633,306.55,9859.9
2020-04-29,-0.23983194864048307,172.45,9553.35
2020-04-28,-0.27357272485364564,98.6,9380.9
2020-04-27,-0.2793515535827518,127.9,9282.3
2020-04-24,-0.2587538368139872,-159.5,9154.4
2020-04-23,-0.26624578622816036,126.6,9313.9
2020-04-22,-0.29737993486973985,205.85,9187.3
2020-04-21,-0.27441401209677374,-280.4,8981.45
2020-04-20,-0.29139310975609745,-4.9,9261.85
2020-04-17,-0.2890298094795549,273.95,9266.75
2020-04-16,-0.29268988684582736,67.5,8992.8
2020-04-15,-0.27532438313144847,-68.55,8925.3
2020-04-13,-0.27344188558085236,-118.05,8993.85
2020-04-09,-0.27775754424778826,363.15,9111.9
2020-04-08,-0.26199667636061474,-43.45,8748.75
2020-04-07,-0.3024013157894735,708.4,8792.2
2020-04-03,-0.306104108391609,-170.0,8083.8
